source_type,theme_or_query,detail
owner-history,"How much is a motorbike per day?","recurring real theme"
owner-history,"How much is a weekly rental?","recurring real theme"
owner-history,"How much is a monthly rental?","recurring real theme"
owner-history,"What deposit is required?","recurring real theme"
owner-history,"When/how is the deposit returned?","recurring real theme"
owner-history,"What documents are needed to rent?","recurring real theme"
owner-history,"Can a foreigner rent a motorbike in Hanoi?","recurring real theme"
owner-history,"Which motorcycle is suitable for a foreigner?","recurring real theme"
owner-history,"Which motorcycle is suitable for monthly use?","recurring real theme"
owner-history,"Which bike is suitable for an English teacher living in Hanoi?","recurring real theme"
owner-history,"Can I rent a 50cc motorcycle?","recurring real theme"
owner-history,"Do I need a licence for a 50cc motorcycle?","recurring real theme"
owner-history,"Which licence is required for a motorcycle in Vietnam?","recurring real theme"
owner-history,"Can tourists legally ride in Vietnam?","recurring real theme"
owner-history,"Can I rent an automatic scooter?","recurring real theme"
owner-history,"Can I rent a manual/semi-automatic motorcycle?","recurring real theme"
owner-history,"Do you have electric motorcycles?","recurring real theme"
owner-history,"Do you have e-bikes?","recurring real theme"
owner-history,"How far can an electric motorcycle travel?","recurring real theme"
owner-history,"How long does an electric motorcycle take to charge?","recurring real theme"
owner-history,"Which is better in Hanoi: electric or petrol?","recurring real theme"
owner-history,"Which is better: scooter or semi-automatic motorcycle?","recurring real theme"
owner-history,"Which bike is good for two people?","recurring real theme"
owner-history,"Which bike is suitable for Hanoi traffic?","recurring real theme"
owner-history,"Can you deliver the motorcycle?","recurring real theme"
owner-history,"How much does delivery cost?","recurring real theme"
owner-history,"Can you deliver to the Old Quarter?","recurring real theme"
owner-history,"Can you deliver to Long Bien?","recurring real theme"
owner-history,"Can you deliver to Tay Ho?","recurring real theme"
owner-history,"Where is the shop?","recurring real theme"
owner-history,"What are the opening hours?","recurring real theme"
owner-history,"How do I contact you on WhatsApp?","recurring real theme"
owner-history,"How do I contact you on Zalo?","recurring real theme"
owner-history,"What happens if the motorcycle breaks down?","recurring real theme"
owner-history,"Where should I take the bike if it needs maintenance?","recurring real theme"
owner-history,"Should I use an outside repair shop?","recurring real theme"
owner-history,"When should I bring a high-mileage rental motorcycle back for inspection?","recurring real theme"
owner-history,"Who pays for a punctured inner tube or tyre?","recurring real theme"
owner-history,"What happens if I return the motorcycle late?","recurring real theme"
owner-history,"Can I return the motorcycle early?","recurring real theme"
owner-history,"Is unused rental time refunded?","recurring real theme"
owner-history,"Is insurance included?","recurring real theme"
owner-history,"Do I need to buy my own insurance?","recurring real theme"
owner-history,"Can I ride from Hanoi to nearby destinations?","recurring real theme"
owner-history,"Which motorcycle is suitable for a day trip?","recurring real theme"
owner-history,"Which motorcycle is suitable for longer-distance riding?","recurring real theme"
owner-history,"What should I check before riding a rental motorcycle?","recurring real theme"
owner-history,"How do I ride safely in Hanoi traffic?","recurring real theme"
owner-history,"What should foreigners know before riding in Hanoi?","recurring real theme"
owner-history,"What documents should I carry while riding?","recurring real theme"
owner-history,"What should I do after a puncture?","recurring real theme"
owner-history,"What should I do if the chain feels loose?","recurring real theme"
owner-history,"What should I do if the motorcycle does not feel normal?","recurring real theme"
gsc,"thuê xe máy phố cổ","clicks=11, impressions=32, avg_pos=3.6, period 2026-08-18..2026-09-16"
gsc,"thuê xe máy phố cổ hà nội","clicks=4, impressions=15, avg_pos=11.5, period 2026-08-18..2026-09-16"
gsc,"thue xe may ha noi","clicks=0, impressions=3, avg_pos=33, period 2026-08-18..2026-09-16"
gsc,"thuê xe máy hà nội","clicks=0, impressions=4, avg_pos=44.3, period 2026-08-18..2026-09-16"
gsc,"thuê xe máy hà nội phố cổ","clicks=0, impressions=3, avg_pos=12.3, period 2026-08-18..2026-09-16"
gsc,"motorbike rental hanoi (historical audit evidence)","historical SEO evidence; no volume claim"
