ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0886,Motorbike vs train Vietnam,Motorbike vs Train in Vietnam: Choosing How to Cover Long Distances,motorbike vs train vietnam long distance,informational,14-vietnam-travel,14.1 transport-comparisons,comparison,tourists/expats,skeleton+research,R2,travel-facts,motorbike-ferry-train-transport-vietnam,Long-distance mode comparison; the ferry and train guide covers bike-transport mechanics only,"motorbike-ferry-train-transport-vietnam, hanoi-to-ho-chi-minh-city-by-motorbike, ho-chi-minh-highway-motorbike-guide, best-motorbike-for-long-distance-vietnam, motorbike-trip-seasons-north-vietnam",published
MM-0887,Motorbike vs sleeper bus,Motorbike vs Sleeper Bus in Vietnam: The Long-Haul Trade-Off,motorbike vs sleeper bus vietnam,informational,14-vietnam-travel,14.1 transport-comparisons,comparison,tourists/expats,skeleton+research,R2,travel-facts,motorbike-vs-train-vietnam-long-distance,Overnight bus comparison with fares and cabin formats; the train comparison covers rail only,"motorbike-ferry-train-transport-vietnam, motorbike-vs-train-vietnam-long-distance, how-far-motorbike-day-trip-hanoi, motorbike-trip-budget-from-hanoi, overnight-stays-motorbike-trips-vietnam",published
MM-0888,Motorbike vs domestic flights,Flying vs Motorbike Travel in Vietnam: When to Take the Plane,motorbike vs domestic flights vietnam,informational,14-vietnam-travel,14.1 transport-comparisons,comparison,tourists/expats,skeleton+research,R2,travel-facts,motorbike-vs-train-vietnam-long-distance,Air-travel comparison including the fly-and-rent chapter strategy; train article covers rail travel,"motorbike-vs-train-vietnam-long-distance, hanoi-to-ho-chi-minh-city-by-motorbike, mekong-delta-motorbike-guide, renting-motorbike-ho-chi-minh-city, motorbike-trip-budget-from-hanoi",published
MM-0889,One-way motorbike rental,One-Way Motorbike Rental in Vietnam: How Riding North to South Actually Works,one way motorbike rental vietnam,informational,14-vietnam-travel,14.1 transport-comparisons,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-to-ho-chi-minh-city-by-motorbike,Logistics of one-way rental and buyback schemes; the route guide covers the ride itself,"hanoi-to-ho-chi-minh-city-by-motorbike, buying-motorbike-as-tourist-vietnam, selling-motorbike-before-leaving-vietnam, renting-vs-buying-motorbike-vietnam-long-trip, motorbike-trip-prep-checklist-hanoi",published
MM-0890,Renting in Ho Chi Minh City,Renting a Motorbike in Ho Chi Minh City: A Practical Guide,renting motorbike ho chi minh city,informational,14-vietnam-travel,14.2 renting-around-vietnam,guide,tourists/expats,skeleton+research,R2,travel-facts,ho-chi-minh-city-riding-first-timers,Saigon rental logistics and prices; the first-timers guide covers traffic survival,"ho-chi-minh-city-riding-first-timers, first-time-renting-a-motorbike-hanoi, can-tourists-ride-motorbike-vietnam, helmet-law-vietnam, motorbike-parking-vietnamese-cities",published
MM-0891,Renting in Da Nang,"Renting a Motorbike in Da Nang: Prices, Beach Roads and the Hai Van Jump-Off",renting motorbike da nang,informational,14-vietnam-travel,14.2 renting-around-vietnam,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-hue,City-specific rental scene with Son Tra and Hoi An rides; the Hue guide covers its own city,"hai-van-pass-motorbike-guide, renting-motorbike-hue, first-time-renting-a-motorbike-hanoi, can-tourists-ride-motorbike-vietnam, motorbike-parking-vietnamese-cities",published
MM-0892,Renting in Hue,Renting a Motorbike in Hue: Imperial City Riding Guide,renting motorbike hue,informational,14-vietnam-travel,14.2 renting-around-vietnam,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-da-nang,Hue rental plus the tomb circuit and DMZ rides; the pass guide covers the pass road only,"hai-van-pass-motorbike-guide, renting-motorbike-da-nang, motorbike-parking-vietnamese-cities, can-tourists-ride-motorbike-vietnam, first-time-renting-a-motorbike-hanoi",published
MM-0893,Renting in Da Lat,Renting a Motorbike in Da Lat: Highland Riding in the Cool Air,renting motorbike da lat,informational,14-vietnam-travel,14.2 renting-around-vietnam,guide,tourists/expats,skeleton+research,R2,travel-facts,self-drive-vs-easy-rider-vietnam,Highland-specific rental with hills and fog cautions; the Easy Rider guide covers the guided-vs-self decision,"vietnam-monsoon-season-motorbike-travel, mountain-pass-riding-motorbike-vietnam, can-tourists-ride-motorbike-vietnam, self-drive-vs-easy-rider-vietnam, first-time-renting-a-motorbike-hanoi",published
MM-0894,Renting in Nha Trang,Renting a Motorbike in Nha Trang: Coastal City Riding Guide,renting motorbike nha trang,informational,14-vietnam-travel,14.2 renting-around-vietnam,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-da-nang,Nha Trang rental with coastal runs and season warnings; the Da Nang guide covers its own city,"motorbike-parking-vietnamese-cities, can-tourists-ride-motorbike-vietnam, first-time-renting-a-motorbike-hanoi, motorbike-vs-sleeper-bus-vietnam, vietnam-monsoon-season-motorbike-travel",published
MM-0895,Renting on Phu Quoc,Renting a Motorbike on Phu Quoc: Island Riding Guide,renting motorbike phu quoc,informational,14-vietnam-travel,14.2 renting-around-vietnam,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-nha-trang,Island riding specifics including rough secondary roads; Nha Trang guide covers the mainland coast,"renting-vs-buying-motorbike-vietnam-long-trip, can-tourists-ride-motorbike-vietnam, motorbike-parking-vietnamese-cities, first-time-renting-a-motorbike-hanoi, motorbike-vs-domestic-flights-vietnam",published
MM-0896,Laos border crossing,Crossing the Vietnam-Laos Border With a Motorbike: What Actually Works,motorbike border crossing vietnam laos,informational,14-vietnam-travel,14.3 borders-and-ownership,guide,tourists/expats,skeleton+research,R2+R1,legal-facts,motorbike-bluecard-ownership-papers-vietnam,Laos border gates and paperwork; the bluecard guide covers the ownership document itself,"motorbike-bluecard-ownership-papers-vietnam, motorbike-border-crossing-vietnam-cambodia, buying-motorbike-as-tourist-vietnam, can-tourists-ride-motorbike-vietnam, motorbike-travel-insurance-vietnam",published
