ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0819,Dong Da area guide,"Dong Da for Motorbike Riders: Central Avenues, Parks and Parking",dong da hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-dong-da,"Area/street character, landmarks and riding access; the rental article covers rental logistics only","hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, renting-motorbike-dong-da, traffic-at-rush-hour-riding-hanoi, where-to-park-motorbike-hanoi, hanoi-motorbike-commute-corridors, hanoi-navigation-motorbike-guide",published
MM-0820,Hai Ba Trung area guide,Hai Ba Trung for Motorbike Riders: The Long Central-South Strip,hai ba trung hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-hai-ba-trung,District strip riding character and bridge access; rental article covers rental logistics only,"hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, renting-motorbike-hai-ba-trung, crossing-hanoi-bridges-motorbike, traffic-at-rush-hour-riding-hanoi, hanoi-motorbike-commute-corridors, where-to-park-motorbike-hanoi",published
MM-0821,Hoang Mai area guide,Hoang Mai for Motorbike Riders: Hanoi's Quiet Southern Gateway,hoang mai hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,yen-so-park-motorbike-ride,Southern belt riding character and ring-road access vs the park-specific visit guide,"hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, yen-so-park-motorbike-ride, traffic-at-rush-hour-riding-hanoi, hanoi-ring-roads-motorbike-guide, where-to-park-motorbike-hanoi, riding-motorbike-blind-spots-vietnam",published
MM-0822,Thanh Xuan area guide,"Thanh Xuan for Motorbike Riders: Underpasses, Apartments and Wide Roads",thanh xuan hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-thanh-xuan,Southwest quadrant character incl. underpass riding; rental article covers rental logistics only,"hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, renting-motorbike-thanh-xuan, hanoi-motorbike-tunnels-underpasses, traffic-at-rush-hour-riding-hanoi, where-to-park-motorbike-hanoi, hanoi-motorbike-commute-corridors",published
MM-0823,Ha Dong area guide,Ha Dong for Motorbike Riders: The Southwest Gateway and Silk Village Access,ha dong hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,van-phuc-silk-village-motorbike-ride,District-level southwest riding and metro-corridor character vs the village route guide,"hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, van-phuc-silk-village-motorbike-ride, hanoi-motorbike-commute-corridors, traffic-at-rush-hour-riding-hanoi, where-to-park-motorbike-hanoi, best-motorbike-for-commuting-hanoi",published
MM-0824,Nam Tu Liem area guide,"Nam Tu Liem for Motorbike Riders: My Dinh, Wide Boulevards and Museum Runs",nam tu liem my dinh hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-museums-motorbike-visit-guide,West-district boulevard riding and stadium/museum access vs the museums-visit guide,"hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, hanoi-museums-motorbike-visit-guide, hanoi-ring-roads-motorbike-guide, where-to-park-motorbike-hanoi, traffic-at-rush-hour-riding-hanoi, exploring-cau-giay-by-motorbike",published
MM-0825,Bac Tu Liem area guide,Bac Tu Liem for Motorbike Riders: The Growing Northwest,bac tu liem hanoi motorbike riding area guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,west-lake-loop-motorbike-route,Northwest tower-campus riding character vs the lake loop route guide,"hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, hanoi-ring-roads-motorbike-guide, where-to-park-motorbike-hanoi, traffic-at-rush-hour-riding-hanoi, exploring-cau-giay-by-motorbike, west-lake-loop-motorbike-route",published
MM-0826,Administrative restructuring explainer,Hanoi's 2025 Administrative Restructuring: What Changed for Riders and Addresses,hanoi administrative restructuring 2025 wards districts,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-navigation-motorbike-guide,The July 2025 ward reorganisation explainer for addresses/maps; navigation guide covers general addressing only,"hanoi-navigation-motorbike-guide, hanoi-districts-layout-guide-riders, choosing-hanoi-neighbourhood-motorbike-access, getting-around-hanoi-without-vietnamese, hanoi-petrol-stations-guide-riders, documents-to-carry-motorbike-vietnam",published
MM-0827,Train Street visit guide,"Hanoi Train Street by Motorbike: Getting There, Access Rules and Parking",hanoi train street motorbike visit parking,informational,12-hanoi,12.2 city-routes-landmarks,guide,tourists,skeleton+research,R2,travel-facts,exploring-hoan-kiem-by-motorbike,"2026 access situation (cafe entry, barriers) and parking logistics; no existing article covers the landmark visit","hanoi-districts-layout-guide-riders, riding-hanoi-old-quarter-narrow-streets, where-to-park-motorbike-hanoi, exploring-hoan-kiem-by-motorbike, hanoi-motorbike-photo-spots, self-guided-hanoi-motorbike-city-tour, hanoi-navigation-motorbike-guide",published
MM-0828,Bat Trang ride,Bat Trang Pottery Village by Motorbike: The Classic Short Ride From Hanoi,bat trang pottery village motorbike ride from hanoi,informational,12-hanoi,12.2 city-routes-landmarks,route-guide,tourists,skeleton+research,R2,travel-facts,best-motorbike-for-day-trips-from-hanoi,Specific verified route + village visit guide; trips topic covers longer day trips generally,"long-bien-bridge-motorbike-guide, crossing-hanoi-bridges-motorbike, red-river-dyke-riding-guide, red-river-islands-motorbike-guide, best-motorbike-for-day-trips-from-hanoi, where-to-park-motorbike-hanoi, self-guided-hanoi-motorbike-city-tour",published
