ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0794,Hanoi districts layout for riders,"How Hanoi Is Laid Out for Motorbike Riders: Districts, Ring Roads and Bridges",how hanoi is laid out for motorbike riders,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,crossing-hanoi-bridges-motorbike,"Citywide structure overview (districts, ring roads, bridges) - no existing article maps the city skeleton for riders","hanoi-motorbike-commute-corridors, long-bien-area-guide-riders, tay-ho-west-lake-area-guide-riders",published
MM-0795,Tay Ho and West Lake area guide,Riding and Living Around West Lake: A Tay Ho Guide for Motorbike Riders,tay ho west lake motorbike guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,expats,skeleton+research,R2,travel-facts,renting-motorbike-tay-ho,Area and living guide; the rental article covers rental logistics only,"west-lake-loop-motorbike-route, choosing-hanoi-neighbourhood-motorbike-access",published
MM-0796,Hoan Kiem exploring guide,"Exploring Hoan Kiem and the Old Quarter by Motorbike: Parking, Walking Streets and Timing",exploring hoan kiem by motorbike,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists,skeleton+research,R2,travel-facts,riding-hanoi-old-quarter-narrow-streets,Visiting and exploring intent incl. verified walking-street closures; the existing article is riding technique only,"hanoi-night-markets-motorbike-guide, exploring-hoan-kiem-by-motorbike",published
MM-0797,Long Bien area guide,"Long Bien for Motorbike Riders: The Bridge, the Markets and the River District",long bien motorbike guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-long-bien,"Area guide (bridge, markets, dyke, riding character); rental article covers rental logistics only","long-bien-bridge-motorbike-guide, red-river-islands-motorbike-guide",published
MM-0798,Ba Dinh area guide,"Ba Dinh for Motorbike Riders: Government Quarter Riding, Museums and Wide Avenues",ba dinh motorbike riding guide,informational,12-hanoi,12.1 districts-neighbourhoods,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-ba-dinh,"Area guide (museums, wide-avenue riding, ceremony rules); rental article covers rental logistics only","self-guided-hanoi-motorbike-city-tour, west-lake-loop-motorbike-route",published
MM-0799,Cau Giay exploring guide,"Exploring Cau Giay by Motorbike: Malls, Universities and the Western Corridor",exploring cau giay by motorbike,informational,12-hanoi,12.1 districts-neighbourhoods,guide,expats,skeleton+research,R2,travel-facts,renting-motorbike-cau-giay,"Modern-corridor area guide (mall parking, campus traffic); rental article covers rental logistics only","hanoi-university-areas-riding-guide, hanoi-motorbike-commute-corridors",published
MM-0800,Choosing neighbourhood by riding access,Choosing Where to Live in Hanoi When You Ride: A Motorbike-Access Guide,best hanoi neighbourhood for motorbike riders,informational,12-hanoi,12.1 districts-neighbourhoods,guide,expats,skeleton+research,R2,travel-facts,choosing-motorbike-monthly-rental-hanoi,"Decision-framework intent comparing areas by commute, parking and floods; no existing article compares neighbourhoods by riding access","hanoi-motorbike-commute-corridors, apartment-living-motorbike-hanoi",published
MM-0801,West Lake loop route,The West Lake Loop: Hanoi Classic Motorbike Ride,west lake loop motorbike route hanoi,informational,12-hanoi,12.2 city-routes-landmarks,route-guide,tourists/expats,skeleton+research,R2,travel-facts,tay-ho-west-lake-area-guide-riders,Specific scenic route with timing and stops; the area guide covers living and riding in the district generally,"hanoi-ceramic-mosaic-road-motorbike-route, self-guided-hanoi-motorbike-city-tour",published
MM-0802,Long Bien bridge ride guide,"Riding the Long Bien Bridge: History, Access and What to Expect on the Deck",riding long bien bridge hanoi,informational,12-hanoi,12.2 city-routes-landmarks,route-guide,tourists/expats,skeleton+research,R2,travel-facts,crossing-hanoi-bridges-motorbike,Single-landmark guide with verified 2026 repair and reopening facts; the existing article is general bridge-crossing technique,"long-bien-area-guide-riders, red-river-islands-motorbike-guide",published
MM-0803,Ceramic mosaic wall route,The Hanoi Ceramic Mosaic Wall by Motorbike: Riding the Dyke Road,hanoi ceramic road motorbike,informational,12-hanoi,12.2 city-routes-landmarks,route-guide,tourists/expats,skeleton+research,R2,travel-facts,west-lake-loop-motorbike-route,Landmark-route guide; distinct from the general dyke-riding article and the West Lake loop,"red-river-dyke-riding-guide, hanoi-ceramic-mosaic-road-motorbike-route",published
MM-0804,Dyke road riding guide,Riding Hanoi Red River Dyke Roads: What to Know,red river dyke road riding hanoi,informational,12-hanoi,12.2 city-routes-landmarks,guide,expats,skeleton+research,R2,travel-facts,hanoi-ceramic-mosaic-road-motorbike-route,"Road-type technique and conditions guide (surfaces, ramps, seasons); route articles cover specific itineraries","long-bien-area-guide-riders, red-river-islands-motorbike-guide",published
MM-0805,Self-guided city tour,A Self-Guided One-Day Hanoi Motorbike City Tour,hanoi motorbike city tour one day,informational,12-hanoi,12.2 city-routes-landmarks,route-guide,tourists,skeleton+research,R2,travel-facts,best-motorbike-for-day-trips-from-hanoi,Full-day city itinerary linking verified sights; day-trip articles leave the city,"long-bien-bridge-motorbike-guide, exploring-hoan-kiem-by-motorbike",published
MM-0806,Noi Bai airport by motorbike,"Riding a Motorbike to Noi Bai Airport: Routes, Timing and Parking",motorbike to noi bai airport,informational,12-hanoi,12.2 city-routes-landmarks,guide,tourists/expats,skeleton+research,R2,travel-facts,renting-motorbike-noi-bai-arrival,"Route, timing and parking guide for the ride itself; the rental article covers arranging a bike on arrival","motorbikes-on-expressway-vietnam, riding-motorbike-noi-bai-airport-hanoi",published
MM-0807,Red River islands ride,Red River Islands by Motorbike: Banana Island and the Riverside Escape,red river islands motorbike hanoi,informational,12-hanoi,12.2 city-routes-landmarks,route-guide,expats,skeleton+research,R2,travel-facts,long-bien-bridge-motorbike-guide,"Islands destination guide (tracks, seasons, access); distinct from bridge and dyke articles","red-river-dyke-riding-guide, long-bien-area-guide-riders",published
MM-0808,Weekend parks outings,Hanoi Parks by Motorbike: A Weekend Outings Guide,hanoi parks by motorbike weekend,informational,12-hanoi,12.2 city-routes-landmarks,guide,expats and families,skeleton+research,R2,travel-facts,hanoi-weekend-parks-motorbike-outings,Park-hopping destination roundup with parking notes; no existing article maps green spaces for riders,"self-guided-hanoi-motorbike-city-tour, hanoi-weekend-parks-motorbike-outings",published
MM-0809,Night markets by motorbike,Getting to Hanoi Night Markets by Motorbike,hanoi night market motorbike,informational,12-hanoi,12.2 city-routes-landmarks,guide,tourists/expats,skeleton+research,R2,travel-facts,exploring-hoan-kiem-by-motorbike,Nocturnal-market access incl. verified weekend closures and night-riding notes; distinct from the walking-street article,"long-bien-area-guide-riders, hanoi-night-markets-motorbike-guide",published
